keep_in_val_target,tau_domain,abstain_val,abstain_test,abstain_challenge
0.999,0.42854529377348083,0.001081081081081081,0.007785888077858881,0.9983625730994152
0.995,0.8003847051500409,0.004864864864864865,0.023844282238442822,0.9997660818713451
0.99,0.8481663879874878,0.01027027027027027,0.0267639902676399,0.9997660818713451
0.98,0.9138682228143965,0.02,0.03941605839416058,1.0
0.95,0.9641665505081982,0.05027027027027027,0.061800486618004864,1.0
0.9,0.9886745842892088,0.1,0.11289537712895377,1.0
